RUN	viade_es5b.PruebaAñadirAmigo	pruebaan-adiramigo	1587660754745	 	3.3.1
REQUEST	1		PruebaAñadirAmigo_11	1587660770545	1587660770577	OK	 
USER	PruebaAñadirAmigo	13	START	1587660770851	1587660770851
REQUEST	13		PruebaAñadirAmigo_0	1587660770852	1587660770892	OK	 
REQUEST	13		PruebaAñadirAmigo_1	1587660770892	1587660770898	OK	 
REQUEST	13		PruebaAñadirAmigo_2	1587660770899	1587660770906	OK	 
REQUEST	13		PruebaAñadirAmigo_3	1587660771076	1587660771108	OK	 
REQUEST	12		PruebaAñadirAmigo_4	1587660771113	1587660771118	OK	 
REQUEST	12		PruebaAñadirAmigo_5	1587660771120	1587660771123	OK	 
REQUEST	12		PruebaAñadirAmigo_6	1587660771124	1587660771155	OK	 
REQUEST	12		PruebaAñadirAmigo_7	1587660771156	1587660771159	OK	 
REQUEST	2		PruebaAñadirAmigo_8	1587660771176	1587660771213	OK	 
REQUEST	2		PruebaAñadirAmigo_9	1587660771215	1587660771221	OK	 
REQUEST	2		PruebaAñadirAmigo_10	1587660771221	1587660771224	OK	 
REQUEST	2		PruebaAñadirAmigo_11	1587660771346	1587660771377	OK	 
USER	PruebaAñadirAmigo	14	START	1587660771864	1587660771864
REQUEST	14		PruebaAñadirAmigo_0	1587660771866	1587660771905	OK	 
REQUEST	14		PruebaAñadirAmigo_1	1587660771906	1587660771911	OK	 
REQUEST	14		PruebaAñadirAmigo_2	1587660771912	1587660771919	OK	 
REQUEST	14		PruebaAñadirAmigo_3	1587660772084	1587660772117	OK	 
REQUEST	13		PruebaAñadirAmigo_4	1587660772106	1587660772118	OK	 
REQUEST	13		PruebaAñadirAmigo_5	1587660772119	1587660772123	OK	 
REQUEST	13		PruebaAñadirAmigo_6	1587660772124	1587660772156	OK	 
REQUEST	13		PruebaAñadirAmigo_7	1587660772157	1587660772160	OK	 
REQUEST	3		PruebaAñadirAmigo_8	1587660772183	1587660772218	OK	 
REQUEST	3		PruebaAñadirAmigo_9	1587660772219	1587660772225	OK	 
REQUEST	3		PruebaAñadirAmigo_10	1587660772226	1587660772230	OK	 
REQUEST	3		PruebaAñadirAmigo_11	1587660772345	1587660772378	OK	 
USER	PruebaAñadirAmigo	15	START	1587660772861	1587660772861
REQUEST	15		PruebaAñadirAmigo_0	1587660772862	1587660772913	OK	 
REQUEST	15		PruebaAñadirAmigo_1	1587660772915	1587660772922	OK	 
REQUEST	15		PruebaAñadirAmigo_2	1587660772923	1587660772926	OK	 
REQUEST	15		PruebaAñadirAmigo_3	1587660773091	1587660773122	OK	 
REQUEST	14		PruebaAñadirAmigo_4	1587660773102	1587660773122	OK	 
REQUEST	14		PruebaAñadirAmigo_5	1587660773122	1587660773125	OK	 
REQUEST	14		PruebaAñadirAmigo_6	1587660773126	1587660773159	OK	 
REQUEST	14		PruebaAñadirAmigo_7	1587660773160	1587660773164	OK	 
REQUEST	4		PruebaAñadirAmigo_8	1587660773175	1587660773211	OK	 
REQUEST	4		PruebaAñadirAmigo_9	1587660773212	1587660773219	OK	 
REQUEST	4		PruebaAñadirAmigo_10	1587660773220	1587660773224	OK	 
REQUEST	4		PruebaAñadirAmigo_11	1587660773335	1587660773366	OK	 
REQUEST	15		PruebaAñadirAmigo_4	1587660774121	1587660774125	OK	 
REQUEST	15		PruebaAñadirAmigo_5	1587660774125	1587660774128	OK	 
REQUEST	15		PruebaAñadirAmigo_6	1587660774129	1587660774164	OK	 
REQUEST	15		PruebaAñadirAmigo_7	1587660774165	1587660774175	OK	 
REQUEST	5		PruebaAñadirAmigo_8	1587660774164	1587660774217	OK	 
REQUEST	5		PruebaAñadirAmigo_9	1587660774218	1587660774223	OK	 
REQUEST	5		PruebaAñadirAmigo_10	1587660774224	1587660774229	OK	 
